,name,term,rate,rolled_rate,roll,notional,date
91,eur 6Y12Y,6Y12Y,2.6864643848448213,2.6845533871511553,-0.0019109976936659834,5600000.0,2024-04-02
92,eur 3Y17Y,3Y17Y,2.5799513824236864,2.578102767401546,-0.0018486150221401765,3900000.0,2024-04-02
93,eur 10Y4Y,10Y4Y,2.8455094348701517,2.8437076810953408,-0.0018017537748109547,16700000.0,2024-04-02
94,eur 2Y5Y,2Y5Y,2.2859607974073204,2.284168233335617,-0.001792564071703584,11300000.0,2024-04-02
95,eur 6Y13Y,6Y13Y,2.6763476602845304,2.674562331570992,-0.0017853287135385365,5200000.0,2024-04-02
96,eur 6Y14Y,6Y14Y,2.6676278214668994,2.6659509680227047,-0.0016768534441946592,4900000.0,2024-04-02
97,eur 10Y5Y,10Y5Y,2.851920043536002,2.8504569761420475,-0.0014630673939546313,13600000.0,2024-04-02
98,eur 2Y14Y,2Y14Y,2.5619623512081233,2.5605226243010355,-0.0014397269070878238,4500000.0,2024-04-02
99,eur 2Y15Y,2Y15Y,2.5602739891323516,2.5589129889611346,-0.0013610001712169861,4200000.0,2024-04-02
100,eur 2Y16Y,2Y16Y,2.5587971891094003,2.557505255582116,-0.0012919335272845167,4000000.0,2024-04-02
101,eur 7Y9Y,7Y9Y,2.7456790708753314,2.7444055260375895,-0.0012735448377418912,7400000.0,2024-04-02
102,eur 2Y17Y,2Y17Y,2.5574947828923538,2.556263757118522,-0.0012310257738317176,3800000.0,2024-04-02
103,eur 2Y18Y,2Y18Y,2.5563408011347812,2.555164299715389,-0.0011765014193922951,3700000.0,2024-04-02
104,eur 7Y10Y,7Y10Y,2.7268280967186223,2.7256694086875193,-0.0011586880311029724,6700000.0,2024-04-02
105,eur 7Y11Y,7Y11Y,2.7113536251193726,2.710288832160232,-0.0010647929591405259,6200000.0,2024-04-02
106,eur 7Y12Y,7Y12Y,2.6984541463740963,2.6974673274494396,-0.000986818924656685,5800000.0,2024-04-02
107,eur 7Y13Y,7Y13Y,2.6874751429739097,2.6865546990085223,-0.0009204439653873742,5400000.0,2024-04-02
108,eur 8Y8Y,8Y8Y,2.7772840654277524,2.7766299064430178,-0.000654158984734643,8400000.0,2024-04-02
109,eur 8Y9Y,8Y9Y,2.75289821570947,2.7523132169063382,-0.0005849988031316755,7600000.0,2024-04-02
110,eur 8Y10Y,8Y10Y,2.733322573798095,2.732792418381644,-0.0005301554164511835,6900000.0,2024-04-02
111,eur 4Y17Y,4Y17Y,2.586150673292697,2.5856561144920005,-0.0004945588006965984,4000000.0,2024-04-02
112,eur 8Y11Y,8Y11Y,2.717300730355317,2.716815001090228,-0.0004857292650890521,6400000.0,2024-04-02
113,eur 4Y18Y,4Y18Y,2.564532364352611,2.5640679406067735,-0.00046442374583754997,3800000.0,2024-04-02
114,eur 8Y12Y,8Y12Y,2.703869178457937,2.703420568801436,-0.0004486096565008424,5900000.0,2024-04-02
115,eur 4Y19Y,4Y19Y,2.5451443839337786,2.5447063385521833,-0.0004380453815953089,3700000.0,2024-04-02
116,eur 4Y20Y,4Y20Y,2.5274491570680846,2.5270346639787977,-0.00041449308928687145,3500000.0,2024-04-02
117,eur 4Y21Y,4Y21Y,2.5116528802798537,2.5113118482585604,-0.00034103202129331933,3400000.0,2024-04-02
118,eur 12Y1Y,12Y1Y,2.87973604041598,2.879412185893866,-0.00032385452211425303,67800000.0,2024-04-02
119,eur 5Y16Y,5Y16Y,2.6133405010359176,2.6130971641289067,-0.00024333690701094923,4300000.0,2024-04-02
120,eur 5Y17Y,5Y17Y,2.5888312721342444,2.58860931410058,-0.00022195803366420463,4100000.0,2024-04-02
121,eur 5Y18Y,5Y18Y,2.5669930191004977,2.566789285489673,-0.0002037336108249299,3900000.0,2024-04-02
122,eur 3Y18Y,3Y18Y,2.5587693980402104,2.558574904460023,-0.00019449358018741592,3800000.0,2024-04-02
123,eur 5Y19Y,5Y19Y,2.5471773029005007,2.5469894387406127,-0.0001878641598880293,3800000.0,2024-04-02
124,eur 3Y19Y,3Y19Y,2.5397588145103818,2.539579183662157,-0.00017963084822492092,3600000.0,2024-04-02
125,eur 3Y20Y,3Y20Y,2.522563648886076,2.522396955687961,-0.00016669319811501992,3500000.0,2024-04-02
126,eur 12Y2Y,12Y2Y,2.8797360404159797,2.879571796011997,-0.00016424440398266071,34400000.0,2024-04-02
