date,ccy,term,rate,direction,pnl,close_date
2023-05-02,gbp,8Y1Y,3.306933672062869,-1,-164364.81927865287,2023-06-01
2023-05-02,gbp,1Y3Y,3.8106034021520516,1,302105.51201530005,2023-06-01
2023-05-02,gbp,1Y2Y,3.9188746842719206,1,344361.3391443314,2023-06-01
2023-05-02,gbp,1Y1Y,4.098315221122429,1,390259.5833945028,2023-06-01
2023-06-01,gbp,8Y1Y,3.6427055810783058,-1,82256.85060399733,2023-07-03
2023-06-01,gbp,8Y2Y,3.656395732318006,-1,90916.45406142955,2023-07-03
2023-06-01,gbp,7Y2Y,3.5995532289485954,-1,60396.39554734921,2023-07-03
2023-06-01,gbp,1Y3Y,4.376737693590791,1,424208.8371078418,2023-07-03
2023-06-01,gbp,1Y2Y,4.563838548446026,1,501230.6122829284,2023-07-03
2023-06-01,gbp,1Y1Y,4.819248222370254,1,583571.9511053994,2023-07-03
2023-07-03,gbp,8Y1Y,3.4782443178565767,-1,-106558.88107175926,2023-08-01
2023-07-03,gbp,8Y2Y,3.474279217843158,-1,-121204.3035902639,2023-08-01
2023-07-03,gbp,9Y1Y,3.4706056864122647,-1,-136385.69285601142,2023-08-01
2023-07-03,gbp,1Y1Y,5.931209493096002,1,-194886.5764695884,2023-08-01
2023-07-03,gbp,2Y1Y,5.069307210799722,1,-133959.70047403872,2023-08-01
2023-07-03,gbp,1Y2Y,5.510911451414761,1,-165894.2847173117,2023-08-01
2023-08-01,gbp,8Y1Y,3.6967205842477147,-1,-69929.65171424914,2023-09-01
2023-08-01,gbp,8Y2Y,3.721566219634839,-1,-74856.99453775973,2023-09-01
2023-08-01,gbp,9Y1Y,3.747863311442079,-1,-79785.9475050513,2023-09-01
2023-08-01,gbp,1Y3Y,4.852611658602671,1,-54507.32352234322,2023-09-01
2023-08-01,gbp,1Y2Y,5.1297782906659,1,-83678.1863682452,2023-09-01
2023-08-01,gbp,1Y1Y,5.485183886533163,1,-108466.2917331003,2023-09-01
2023-09-01,gbp,9Y1Y,3.9133482601413134,-1,-201223.19353611505,2023-10-02
2023-09-01,gbp,8Y2Y,3.8767511846685774,-1,-186030.20640263535,2023-10-02
2023-09-01,gbp,8Y1Y,3.8416285713813227,-1,-171965.47979663947,2023-10-02
2023-09-01,gbp,1Y3Y,4.704199976307583,1,-59885.1853449478,2023-10-02
2023-09-01,gbp,1Y2Y,4.918486779421009,1,-97079.34864787137,2023-10-02
2023-09-01,gbp,1Y1Y,5.212604898473617,1,-121560.397811316,2023-10-02
2023-10-02,gbp,9Y1Y,4.327746725859472,-1,-20644.212893538683,2023-11-01
2023-10-02,gbp,8Y2Y,4.256823133800896,-1,-27465.887966559687,2023-11-01
2023-10-02,gbp,7Y3Y,4.215128624891395,-1,-20744.721499029507,2023-11-01
2023-10-02,gbp,1Y3Y,4.554306444586533,1,-103778.23484195625,2023-11-01
2023-10-02,gbp,1Y2Y,4.686801983093071,1,-116157.51455626411,2023-11-01
2023-10-02,gbp,1Y1Y,4.920459426872825,1,-136807.4923949849,2023-11-01
2023-11-01,gbp,9Y1Y,4.378381076130845,-1,197139.17054612364,2023-12-01
2023-11-01,gbp,8Y2Y,4.320953663649548,-1,199778.30819823052,2023-12-01
2023-11-01,gbp,8Y1Y,4.265595630989567,-1,202168.48471834493,2023-12-01
2023-11-01,gbp,1Y3Y,4.320324074746938,1,-200224.84802999042,2023-12-01
