name,term,rate,rolled_rate,roll,date
eur 8Y14Y,8Y14Y,1.724299464,1.726823129,-0.002523665,01/08/2022
eur 8Y15Y,8Y15Y,1.693893569,1.696278836,-0.002385267,01/08/2022
eur 8Y16Y,8Y16Y,1.667225514,1.669488106,-0.002262592,01/08/2022
eur 8Y17Y,8Y17Y,1.64364755,1.645800757,-0.002153208,01/08/2022
eur 8Y18Y,8Y18Y,1.615972821,1.618578614,-0.002605793,01/08/2022
eur 8Y19Y,8Y19Y,1.591419402,1.59391553,-0.002496128,01/08/2022
eur 8Y20Y,8Y20Y,1.569264344,1.57166064,-0.002396296,01/08/2022
eur 8Y21Y,8Y21Y,1.549122091,1.551426898,-0.002304807,01/08/2022
eur 8Y22Y,8Y22Y,1.530731548,1.532952267,-0.002220719,01/08/2022
eur 9Y1Y,9Y1Y,1.892238852,1.881982456,0.010256395,01/08/2022
eur 9Y2Y,9Y2Y,1.969024367,1.957277238,0.01174713,01/08/2022
eur 9Y3Y,9Y3Y,2.020325048,2.010244293,0.010080755,01/08/2022
eur 9Y4Y,9Y4Y,2.015415249,2.010372377,0.005042872,01/08/2022
eur 9Y5Y,9Y5Y,2.012472427,2.008398931,0.004073495,01/08/2022
eur 9Y6Y,9Y6Y,2.010516139,2.007089949,0.00342619,01/08/2022
eur 9Y7Y,9Y7Y,1.945692474,1.948136095,-0.002443621,01/08/2022
eur 9Y8Y,9Y8Y,1.896888827,1.899062173,-0.002173346,01/08/2022
eur 9Y9Y,9Y9Y,1.858645813,1.860604509,-0.001958696,01/08/2022
eur 9Y10Y,9Y10Y,1.828091771,1.82987721,-0.001785439,01/08/2022
eur 9Y11Y,9Y11Y,1.803063986,1.804706919,-0.001642933,01/08/2022
eur 9Y12Y,9Y12Y,1.758093877,1.761649514,-0.003555637,01/08/2022
eur 9Y13Y,9Y13Y,1.720237378,1.723561261,-0.003323883,01/08/2022
eur 9Y14Y,9Y14Y,1.687609305,1.690731484,-0.003122179,01/08/2022
