point,t1,t2,aud,cad,nok,eur,gbp,jpy,nzd,sek,usd
11y5y,11,16,4.658273163431371,3.8198937385219525,3.24429430462443,2.715118216876882,3.9407301079932116,1.8865503459561999,4.767220362118704,2.5952978331040573,3.769172906778642
11y6y,11,17,4.636790003837951,3.805230878798296,3.206665713679651,2.6762395585405554,3.9359847750079036,1.9213549213680996,4.7745839469871285,2.560501082651095,3.7586599517992334
11y7y,11,18,4.6107671032514155,3.784237412893797,3.168864223816755,2.634147555181111,3.9284580148971506,1.9519054838516485,4.779585993986601,2.522502728570666,3.7439540895245997
11y8y,11,19,4.581343453831076,3.7577118530407976,3.131066336620419,2.590972058862484,3.919348996180842,1.9768347514878917,4.783604100861217,2.482376992697046,3.725320264158679
11y9y,11,20,4.54937777173865,3.7261410767723295,3.0934576729402434,2.5483513155049113,3.909516621866195,1.995045047620557,4.787650255024081,2.4409607467152674,3.702819561578383
11y10y,11,21,4.5156187999363615,3.6901474292436065,3.0562109664270665,2.5074388439703426,3.8994973665063193,2.006069384175261,4.792198892462777,2.3990597085512113,3.6766990780988764
11y11y,11,22,4.480847868008424,3.6513228849962727,3.0194381227316525,2.4683882966693402,3.8891836584936543,2.0113085806453412,4.796341007653964,2.3577314587986615,3.6481925899038252
11y12y,11,23,4.445806982553345,3.6112588006800403,2.983249641429035,2.4312352460923576,3.8783884342192216,2.0122875880429643,4.799050471670464,2.318010665717485,3.618549604983156
11y13y,11,24,4.411193161278352,3.571343655561428,2.9477673825618953,2.3961091959995153,3.8669817236826347,2.010262414109718,4.799475972727799,2.280857160005674,3.588828968493716
11y14y,11,25,4.377674629963259,3.5328357637143664,2.913120543384596,2.3632000970336415,3.8548702540472912,2.0063161903713054,4.796878560071454,2.247182739018266,3.559967025488396
11y15y,11,26,4.345741333989358,3.4966304040391103,2.879378629214751,2.3325959367248954,3.842045560099685,2.0013489154589834,4.7908900957578116,2.217533855822418,3.532618910312134
11y16y,11,27,4.31526696576861,3.46251589097213,2.8463696902581512,2.303873213083003,3.828744629598033,1.9959241616989503,4.78231502273581,2.191171905443226,3.5066274402242503
11y17y,11,28,4.286035841114625,3.4300993108034703,2.8138915505021935,2.2765562605246235,3.81524666760848,1.990515587445429,4.772142689462977,2.1671750084051618,3.4816954418320263
