date,ccy,term,rate,direction,exit_rate,pnl,close_date
2023-03-01,gbp,1Y2Y,4.177182586924271,1,3.7262209961881116,-225480.79536807977,2023-04-03
2023-03-01,gbp,1Y1Y,4.419090804762655,1,3.9082505872080286,-255420.10877731335,2023-04-03
2023-04-03,gbp,9Y1Y,3.096927580754194,-1,3.414076642773911,-158574.53100985853,2023-05-02
2023-04-03,gbp,8Y2Y,3.0543451452695116,-1,3.355981277885954,-150818.06630822126,2023-05-02
2023-04-03,gbp,8Y1Y,3.0137592356644465,-1,3.3005866255341374,-143413.69493484547,2023-05-02
2023-04-03,gbp,1Y3Y,3.577058945999826,1,3.841968080892384,132454.56744627893,2023-05-02
2023-04-03,gbp,1Y2Y,3.6930101149796104,1,3.958853068104156,132921.47656227282,2023-05-02
2023-04-03,gbp,1Y1Y,3.8556685411603064,1,4.1613621042044135,152846.78152205356,2023-05-02
2023-05-02,gbp,9Y1Y,3.424262374494136,-1,3.6679683505635556,-121852.9880347099,2023-06-01
2023-05-02,gbp,8Y2Y,3.364120163454575,-1,3.65154018991611,-143710.0132307676,2023-06-01
2023-05-02,gbp,8Y1Y,3.306933672062869,-1,3.6356633106201746,-164364.81927865287,2023-06-01
2023-05-02,gbp,1Y3Y,3.8106034021520516,1,4.414814426182652,302105.51201530005,2023-06-01
2023-05-02,gbp,1Y2Y,3.9188746842719206,1,4.6075973625605835,344361.3391443314,2023-06-01
2023-05-02,gbp,1Y1Y,4.098315221122429,1,4.878834387911435,390259.5833945028,2023-06-01
2023-06-01,gbp,8Y1Y,3.6427055810783058,-1,3.478191879870311,82256.85060399733,2023-07-03
2023-06-01,gbp,8Y2Y,3.656395732318006,-1,3.474562824195147,90916.45406142955,2023-07-03
2023-06-01,gbp,7Y2Y,3.5995532289485954,-1,3.478760437853897,60396.39554734921,2023-07-03
2023-06-01,gbp,1Y3Y,4.376737693590791,1,5.225155367806475,424208.8371078418,2023-07-03
2023-06-01,gbp,1Y2Y,4.563838548446026,1,5.566299773011883,501230.6122829284,2023-07-03
2023-06-01,gbp,1Y1Y,4.819248222370254,1,5.9863921245810525,583571.9511053994,2023-07-03
2023-07-03,gbp,8Y1Y,3.4782443178565767,-1,3.6913620800000952,-106558.88107175926,2023-08-01
2023-07-03,gbp,8Y2Y,3.474279217843158,-1,3.7166878250236857,-121204.3035902639,2023-08-01
