,name,rate,rolled_rate,term
96,eur 3Y10Y,2.642835319212905,1.0184478827865373,3Y10Y
97,eur 3Y11Y,2.661446756703993,1.961897808369244,3Y11Y
98,eur 3Y12Y,2.676911983026374,2.67952335350736,3Y12Y
99,eur 3Y13Y,2.668277017900779,3.234766100769806,3Y13Y
100,eur 3Y14Y,2.660889142157057,3.0626116715988445,3Y14Y
101,eur 3Y15Y,2.654461975219499,2.907642304860733,3Y15Y
102,eur 3Y16Y,2.6488720673498225,2.76921900281163,3Y16Y
103,eur 3Y17Y,2.6438783986351364,2.6435257977359314,3Y17Y
104,eur 3Y18Y,2.6212671327413055,2.5298337115442164,3Y18Y
105,eur 3Y19Y,2.6009822552476276,2.5359693120325058,3Y19Y
106,eur 3Y20Y,2.582688333605554,2.5414693162635147,3Y20Y
107,eur 3Y21Y,2.566024844157244,2.5464600404727564,3Y21Y
108,eur 3Y22Y,2.5509735476139492,2.5509326913980286,3Y22Y
109,eur 3Y23Y,2.5298144164315737,2.5549287401814285,3Y23Y
110,eur 3Y24Y,2.5103654362239753,2.528504566350627,3Y24Y
111,eur 3Y25Y,2.4923870593652646,2.504011696804521,3Y25Y
112,eur 3Y26Y,2.4757184891155135,2.481245338161199,3Y26Y
113,eur 3Y27Y,2.460381509719505,2.4602506741701866,3Y27Y
114,eur 4Y1Y,2.413414748459281,2.4124795573524596,4Y1Y
115,eur 4Y2Y,2.4448981693853944,2.44417551208192,4Y2Y
116,eur 4Y3Y,2.477744821303175,2.4771774419794745,4Y3Y
117,eur 4Y4Y,2.5100896664328625,2.5096392427014798,4Y4Y
118,eur 4Y5Y,2.547523353997251,2.5471717516159607,4Y5Y
119,eur 4Y6Y,2.586564755308487,2.586295491020625,4Y6Y
120,eur 4Y7Y,2.6180643185913715,2.617854387115603,4Y7Y
121,eur 4Y8Y,2.6496163449719403,2.649465211249801,4Y8Y
122,eur 4Y9Y,2.672574588790202,0.8469026419374692,4Y9Y
123,eur 4Y10Y,2.690724464721963,1.9121465464156484,4Y10Y
124,eur 4Y11Y,2.7055556387061266,2.7060410087260784,4Y11Y
125,eur 4Y12Y,2.6940241938372083,3.3158627364936417,4Y12Y
126,eur 4Y13Y,2.6842828627219832,3.12312017273931,4Y13Y
127,eur 4Y14Y,2.675931737430659,2.9522385987056055,4Y14Y
128,eur 4Y15Y,2.6686666444378995,2.7989066451522753,4Y15Y
129,eur 4Y16Y,2.6623506402822064,2.662337988309354,4Y16Y
130,eur 4Y17Y,2.6371875908067706,2.539001106317265,4Y17Y
131,eur 4Y18Y,2.614759392906455,2.545160505976223,4Y18Y
132,eur 4Y19Y,2.5946475248901764,2.5506505060659888,4Y19Y
133,eur 4Y20Y,2.5763820036879825,2.5556223807448855,4Y20Y
134,eur 4Y21Y,2.5600060302060577,2.560040345090797,4Y21Y
135,eur 4Y22Y,2.537307831185312,2.5640430393133324,4Y22Y
136,eur 4Y23Y,2.516469123644537,2.5357752711608477,4Y23Y
137,eur 4Y24Y,2.497274169933573,2.5096651348861445,4Y24Y
138,eur 4Y25Y,2.4796301250645856,2.4856040144573193,4Y25Y
139,eur 4Y26Y,2.463232397876479,2.463187409888875,4Y26Y
140,eur 5Y1Y,2.477172381007807,2.476667433832797,5Y1Y
141,eur 5Y2Y,2.5111403096922316,2.510763662810754,5Y2Y
142,eur 5Y3Y,2.54391964941598,2.5436386294807325,5Y3Y
143,eur 5Y4Y,2.5832209780442548,2.5830244661201425,5Y4Y
144,eur 5Y5Y,2.623933818106126,2.6238080189005184,5Y5Y
145,eur 5Y6Y,2.6553696036146066,2.6552916560639233,5Y6Y
146,eur 5Y7Y,2.687014508145235,2.6869803531953993,5Y7Y
147,eur 5Y8Y,2.708950101214205,0.6317180089016782,5Y8Y
148,eur 5Y9Y,2.725809327304785,1.8505340029151989,5Y9Y
149,eur 5Y10Y,2.7392849896777567,2.739129558363429,5Y10Y
150,eur 5Y11Y,2.72386469720918,3.410518585391145,5Y11Y
151,eur 5Y12Y,2.7110344257012913,3.1926999770905824,5Y12Y
152,eur 5Y13Y,2.7001743274747776,3.001838921670014,5Y13Y
153,eur 5Y14Y,2.690827283616177,2.8323516982345205,5Y14Y
154,eur 5Y15Y,2.6827803709860927,2.682784790134654,5Y15Y
155,eur 5Y16Y,2.6546161893792064,2.5488189408103255,5Y16Y
156,eur 5Y17Y,2.6296959461339857,2.554962390985382,5Y17Y
157,eur 5Y18Y,2.6074944996299685,2.5604025088075777,5Y18Y
158,eur 5Y19Y,2.5874488150971215,2.565301461097427,5Y19Y
159,eur 5Y20Y,2.5695716146656906,2.5696306904887596,5Y20Y
160,eur 5Y21Y,2.545093663674086,2.5735346441280553,5Y21Y
161,eur 5Y22Y,2.5227183147049885,2.543228923184121,5Y22Y
162,eur 5Y23Y,2.50218984484319,2.515346194585182,5Y23Y
163,eur 5Y24Y,2.483388948661317,2.489744440732881,5Y24Y
164,eur 5Y25Y,2.4659749336342127,2.4659722028417885,5Y25Y
165,eur 6Y1Y,2.54599012173993,2.5457450192690074,6Y1Y
166,eur 6Y2Y,2.5785136246454674,2.5783485632651257,6Y2Y
167,eur 6Y3Y,2.620415930995898,2.620327495528429,6Y3Y
168,eur 6Y4Y,2.6630712944170427,2.6630465147077205,6Y4Y
169,eur 6Y5Y,2.6939104231346143,2.693924782719494,6Y5Y
170,eur 6Y6Y,2.7253453328371737,2.725388729525544,6Y6Y
171,eur 6Y7Y,2.7457196626935767,0.3460430473272777,6Y7Y
172,eur 6Y8Y,2.7608162897250175,1.7650499668544202,6Y8Y
173,eur 6Y9Y,2.772552747783123,2.7715531298497886,6Y9Y
174,eur 6Y10Y,2.7524175743409796,3.5168368759418094,6Y10Y
175,eur 6Y11Y,2.7359673602402315,3.2683121915579956,6Y11Y
176,eur 6Y12Y,2.7222520997704063,3.053552202349534,6Y12Y
177,eur 6Y13Y,2.710596293748007,2.8651510676445353,6Y13Y
178,eur 6Y14Y,2.7006732673768066,2.7006663649697265,6Y14Y
179,eur 6Y15Y,2.669206326270372,2.554727896990953,6Y15Y
180,eur 6Y16Y,2.6415945780265337,2.5610429863537347,6Y16Y
181,eur 6Y17Y,2.617175688567343,2.566593973438764,6Y17Y
182,eur 6Y18Y,2.595272257219426,2.5715608052717895,6Y18Y
183,eur 6Y19Y,2.575853093774031,2.5759235649169328,6Y19Y
184,eur 6Y20Y,2.5495293914448003,2.5798373430508885,6Y20Y
185,eur 6Y21Y,2.5255819300346696,2.5474002122942494,6Y21Y
186,eur 6Y22Y,2.5037071497869667,2.517685181438936,6Y22Y
187,eur 6Y23Y,2.4837533759781207,2.4905089718948132,6Y23Y
188,eur 6Y24Y,2.4653394758195946,2.4653667934019965,6Y24Y
189,eur 7Y1Y,2.6117164389117993,2.6116330653126796,7Y1Y
190,eur 7Y2Y,2.6590751156274512,2.65906804236679,7Y2Y
191,eur 7Y3Y,2.7041920721796435,2.7042446846379056,7Y3Y
192,eur 7Y4Y,2.7334228916088334,2.733506624632745,7Y4Y
193,eur 7Y5Y,2.764195137265272,2.764290735648118,7Y5Y
194,eur 7Y6Y,2.782252157400882,-0.04495495230038343,7Y6Y
195,eur 7Y7Y,2.7949867524965653,1.6452142157807719,7Y7Y
196,eur 7Y8Y,2.804537617218482,2.802464862856175,7Y8Y
197,eur 7Y9Y,2.778666748044843,3.638048210201487,7Y9Y
198,eur 7Y10Y,2.7579984058872675,3.351216918444145,7Y10Y
199,eur 7Y11Y,2.7410775084018244,3.1074648155663276,7Y11Y
200,eur 7Y12Y,2.726913069343618,2.8966949948198955,7Y12Y
201,eur 7Y13Y,2.715009887576002,2.7149764397731646,7Y13Y
202,eur 7Y14Y,2.679941641107051,2.5555071523348185,7Y14Y
203,eur 7Y15Y,2.6494623645656588,2.5622958437764463,7Y15Y
204,eur 7Y16Y,2.6227323452843216,2.5682132641894277,7Y16Y
205,eur 7Y17Y,2.5989332002927497,2.5734691460406394,7Y17Y
206,eur 7Y18Y,2.5779722842889448,2.5780553785045286,7Y18Y
207,eur 7Y19Y,2.5497699966736467,2.5821458476216153,7Y19Y
208,eur 7Y20Y,2.5242496266742016,2.5475078930730577,7Y20Y
209,eur 7Y21Y,2.5010505434142924,2.5159276880397115,7Y21Y
210,eur 7Y22Y,2.479981756581499,2.4871711720351897,7Y22Y
211,eur 7Y23Y,2.460617141131282,2.4606730973006843,7Y23Y
212,eur 8Y1Y,2.7084795495650127,2.708551634691484,8Y1Y
213,eur 8Y2Y,2.752843996070189,2.752967473464494,8Y2Y
214,eur 8Y3Y,2.7766955258387984,2.7769232522327707,8Y3Y
215,eur 8Y4Y,2.8054913199984473,2.771451500255218,8Y4Y
216,eur 8Y5Y,2.8194822556084063,-0.6055566269737552,8Y5Y
217,eur 8Y6Y,2.8288167599649436,1.4740162034471336,8Y6Y
218,eur 8Y7Y,2.835395269696067,2.8351567069035757,8Y7Y
219,eur 8Y8Y,2.80235713089378,3.7801248779156422,8Y8Y
220,eur 8Y9Y,2.776699917173783,3.444097730214677,8Y9Y
221,eur 8Y10Y,2.7560711264172335,3.1629475527907327,8Y10Y
222,eur 8Y11Y,2.7393068559705807,2.9272408771691976,8Y11Y
223,eur 8Y12Y,2.7252194891132864,2.7247419713102845,8Y12Y
224,eur 8Y13Y,2.6862193898622397,2.5503110990396536,8Y13Y
225,eur 8Y14Y,2.652696877127489,2.5580065625134396,8Y14Y
226,eur 8Y15Y,2.623583108079412,2.5646490106195627,8Y15Y
227,eur 8Y16Y,2.59793865870637,2.5704798943985856,8Y16Y
228,eur 8Y17Y,2.5754597322356996,2.5755499492891807,8Y17Y
229,eur 8Y18Y,2.5452834907553554,2.579938712813418,8Y18Y
230,eur 8Y19Y,2.518214549733722,2.5430394090975836,8Y19Y
231,eur 8Y20Y,2.4937422193338734,2.509578548267582,8Y20Y
232,eur 8Y21Y,2.4715099297669156,2.4790962596320236,8Y21Y
233,eur 8Y22Y,2.451430973540003,2.4515003416653287,8Y22Y
